,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25
hm1,0.6328125,0.634765625,0.63671875,0.658203125,0.6533203125,0.6484375,0.6552734375,0.654296875,0.6513671875,0.6513671875,0.65234375,0.6572265625,0.6533203125,0.658203125,0.6630859375,0.658203125,0.6591796875,0.6552734375,0.6513671875,0.65234375,0.6484375,0.65234375,0.6474609375,0.650390625,0.6494140625,0.8333333333333334,0.5416666666666666,0.75,1.0,1.0,0.4166666666666667,1.0,1.0,0.6666666666666666,0.5416666666666666,0.5416666666666666,0.7083333333333334,0.7083333333333334,0.9583333333333334,1.0,0.625,0.875,0.2916666666666667,0.125,0.16666666666666666,0.125,0.8333333333333334,0.08333333333333333,0.16666666666666666,0.25
hm2,0.6298828125,0.625,0.638671875,0.64453125,0.642578125,0.6513671875,0.650390625,0.650390625,0.6474609375,0.65234375,0.65625,0.658203125,0.66015625,0.658203125,0.66015625,0.6611328125,0.66015625,0.6650390625,0.6630859375,0.65625,0.6572265625,0.654296875,0.6572265625,0.65625,0.6552734375,0.625,0.08333333333333333,0.8333333333333334,0.5416666666666666,0.3333333333333333,0.5833333333333334,0.7916666666666666,0.5,0.375,0.6666666666666666,1.0,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.8333333333333334,0.9583333333333334,1.0,1.0,1.0,0.625,0.875,0.9166666666666666,1.0,1.0,0.9166666666666666
hm3,0.6181640625,0.62890625,0.630859375,0.6435546875,0.646484375,0.65234375,0.6474609375,0.6455078125,0.6435546875,0.6484375,0.6533203125,0.6572265625,0.66015625,0.6572265625,0.6572265625,0.6552734375,0.6591796875,0.66015625,0.65625,0.6533203125,0.6513671875,0.6494140625,0.6484375,0.6552734375,0.654296875,0.125,0.16666666666666666,0.16666666666666666,0.375,0.6666666666666666,0.6666666666666666,0.5,0.2916666666666667,0.125,0.3333333333333333,0.7083333333333334,0.7083333333333334,0.9583333333333334,0.8333333333333334,0.75,0.25,0.875,0.8333333333333334,0.6666666666666666,0.25,0.2916666666666667,0.375,0.20833333333333334,0.875,0.8333333333333334
hm4,0.6337890625,0.630859375,0.626953125,0.6396484375,0.634765625,0.646484375,0.638671875,0.6416015625,0.6435546875,0.646484375,0.6435546875,0.646484375,0.650390625,0.6474609375,0.6494140625,0.65234375,0.650390625,0.6552734375,0.6513671875,0.650390625,0.6484375,0.6484375,0.650390625,0.6513671875,0.6484375,0.9166666666666666,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25,0.20833333333333334,0.16666666666666666,0.125,0.125,0.08333333333333333,0.08333333333333333,0.5,0.3333333333333333,0.125,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.125,0.08333333333333333,0.125,0.20833333333333334,0.7083333333333334,0.2916666666666667,0.125
hm5,0.6376953125,0.6455078125,0.6357421875,0.63671875,0.638671875,0.646484375,0.6357421875,0.6396484375,0.646484375,0.6474609375,0.650390625,0.6533203125,0.650390625,0.650390625,0.6494140625,0.65625,0.65625,0.6591796875,0.65234375,0.6552734375,0.6552734375,0.6474609375,0.6494140625,0.65234375,0.6513671875,1.0,0.9583333333333334,0.6666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.25,0.25,0.3333333333333333,0.4166666666666667,0.5,0.5,0.125,0.375,0.6666666666666666,0.7083333333333334,0.2916666666666667,0.4583333333333333,0.7083333333333334,0.08333333333333333,0.4583333333333333,0.5,0.5
hm6,0.6318359375,0.64453125,0.634765625,0.6484375,0.64453125,0.6455078125,0.638671875,0.6455078125,0.650390625,0.6513671875,0.6533203125,0.6591796875,0.6533203125,0.6552734375,0.6611328125,0.6611328125,0.65625,0.6552734375,0.65625,0.654296875,0.6552734375,0.6494140625,0.6484375,0.6533203125,0.65234375,0.75,0.8333333333333334,0.5416666666666666,0.6666666666666666,0.5833333333333334,0.08333333333333333,0.20833333333333334,0.2916666666666667,0.5833333333333334,0.5416666666666666,0.7083333333333334,0.9166666666666666,0.7083333333333334,0.75,0.9166666666666666,0.9583333333333334,0.6666666666666666,0.2916666666666667,0.6666666666666666,0.3333333333333333,0.7083333333333334,0.375,0.20833333333333334,0.7083333333333334,0.6666666666666666
hm7,0.62890625,0.6455078125,0.6337890625,0.64453125,0.6494140625,0.65625,0.650390625,0.6484375,0.6494140625,0.646484375,0.6455078125,0.6484375,0.6474609375,0.6455078125,0.6533203125,0.654296875,0.6513671875,0.6552734375,0.6552734375,0.6572265625,0.6513671875,0.6513671875,0.650390625,0.65234375,0.65234375,0.5,0.9583333333333334,0.375,0.5416666666666666,0.875,1.0,0.7916666666666666,0.4166666666666667,0.5,0.125,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.2916666666666667,0.4583333333333333,0.75,0.2916666666666667,0.75,0.7083333333333334,0.5,0.6666666666666666
hm8,0.6298828125,0.6396484375,0.6396484375,0.65234375,0.6474609375,0.6533203125,0.6474609375,0.65234375,0.6474609375,0.65625,0.654296875,0.6533203125,0.6484375,0.6474609375,0.654296875,0.658203125,0.654296875,0.6572265625,0.6552734375,0.65625,0.6533203125,0.650390625,0.6494140625,0.6533203125,0.65234375,0.625,0.75,0.9166666666666666,0.8333333333333334,0.75,0.7916666666666666,0.5,0.875,0.375,1.0,0.875,0.4166666666666667,0.20833333333333334,0.3333333333333333,0.5,0.625,0.375,0.5833333333333334,0.4583333333333333,0.625,0.5416666666666666,0.5833333333333334,0.4583333333333333,0.7083333333333334,0.6666666666666666
hm9,0.6220703125,0.63671875,0.6474609375,0.654296875,0.6494140625,0.6533203125,0.6484375,0.6513671875,0.6533203125,0.6552734375,0.65234375,0.66015625,0.65625,0.65234375,0.65625,0.66015625,0.65625,0.662109375,0.6572265625,0.66015625,0.65234375,0.650390625,0.6513671875,0.6513671875,0.650390625,0.2916666666666667,0.6666666666666666,1.0,0.9166666666666666,0.875,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.875,0.5416666666666666,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.4166666666666667,0.5833333333333334,0.8333333333333334,0.2916666666666667,0.375
hm10,0.6220703125,0.634765625,0.6328125,0.6494140625,0.6435546875,0.654296875,0.6513671875,0.6513671875,0.654296875,0.6552734375,0.654296875,0.6533203125,0.650390625,0.6513671875,0.6552734375,0.658203125,0.6552734375,0.6591796875,0.66015625,0.662109375,0.6591796875,0.6552734375,0.6533203125,0.6552734375,0.6572265625,0.2916666666666667,0.5416666666666666,0.25,0.75,0.4583333333333333,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.9583333333333334,0.875,0.875,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,0.625,0.5,0.7083333333333334,0.9166666666666666,1.0,1.0,1.0,0.9166666666666666,0.875,1.0
hm11,0.625,0.6328125,0.634765625,0.6435546875,0.6435546875,0.646484375,0.6455078125,0.65234375,0.654296875,0.6533203125,0.6513671875,0.654296875,0.6494140625,0.646484375,0.6533203125,0.658203125,0.6533203125,0.6533203125,0.65625,0.658203125,0.6572265625,0.650390625,0.6494140625,0.65234375,0.650390625,0.4166666666666667,0.4166666666666667,0.5416666666666666,0.375,0.4583333333333333,0.25,0.3333333333333333,0.875,0.9583333333333334,0.75,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.625,0.25,0.08333333333333333,0.6666666666666666,0.8333333333333334,0.875,0.5833333333333334,0.4583333333333333,0.5,0.375
hm12,0.6181640625,0.6298828125,0.6337890625,0.642578125,0.6396484375,0.6494140625,0.6474609375,0.6513671875,0.65234375,0.6494140625,0.646484375,0.65234375,0.6484375,0.6474609375,0.6533203125,0.65625,0.654296875,0.65625,0.65234375,0.6552734375,0.6533203125,0.6484375,0.6494140625,0.6474609375,0.6484375,0.125,0.25,0.375,0.25,0.25,0.5,0.5,0.6666666666666666,0.75,0.4166666666666667,0.25,0.25,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.375,0.375,0.5,0.2916666666666667,0.4583333333333333,0.5416666666666666,0.20833333333333334,0.4583333333333333,0.08333333333333333,0.125
